IP,Ident,User,Date,Time,Method,Resource,Protocol,Status,Bytes
74.125.40.19,-,-,20/May/2015,15:05:11,GET,/?flav=rss20,HTTP/1.1,200,29941
150.162.56.185,-,-,20/May/2015,15:05:40,GET,/projects/xdotool/,HTTP/1.1,200,12292
150.162.56.185,-,-,20/May/2015,15:05:20,GET,/reset.css,HTTP/1.1,200,1015
150.162.56.185,-,-,20/May/2015,15:05:37,GET,/style2.css,HTTP/1.1,200,4877
150.162.56.185,-,-,20/May/2015,15:05:19,GET,/images/jordan-80.png,HTTP/1.1,200,6146
150.162.56.185,-,-,20/May/2015,15:05:49,GET,/projects/xdotool/xdotool.xhtml,HTTP/1.1,200,50112
150.162.56.185,-,-,20/May/2015,15:05:42,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
150.162.56.185,-,-,20/May/2015,15:05:39,GET,/favicon.ico,HTTP/1.1,200,3638
66.249.73.135,-,-,20/May/2015,15:05:16,GET,/presentations/foo/,HTTP/1.1,200,1135
23.30.147.145,-,-,20/May/2015,15:05:41,GET,/presentations/logstash-scale11x/images/logstash.png,HTTP/1.1,200,47731
66.249.73.135,-,-,20/May/2015,15:05:36,GET,/blog/tags/function%20pointers,HTTP/1.1,200,9995
195.176.191.93,-,-,20/May/2015,15:05:54,GET,/projects/xdotool/,HTTP/1.1,200,12292
195.176.191.93,-,-,20/May/2015,15:05:12,GET,/reset.css,HTTP/1.1,200,1015
195.176.191.93,-,-,20/May/2015,15:05:50,GET,/style2.css,HTTP/1.1,200,4877
195.176.191.93,-,-,20/May/2015,15:05:06,GET,/favicon.ico,HTTP/1.1,200,3638
195.176.191.93,-,-,20/May/2015,15:05:41,GET,/images/jordan-80.png,HTTP/1.1,200,6146
195.176.191.93,-,-,20/May/2015,15:05:06,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
46.105.14.53,-,-,20/May/2015,15:05:41,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
66.249.73.135,-,-,20/May/2015,15:05:50,GET,/blog/geekery?page=6,HTTP/1.1,200,44504
78.171.202.100,-,-,20/May/2015,15:05:14,GET,/projects/xdotool/,HTTP/1.1,200,12292
78.171.202.100,-,-,20/May/2015,15:05:03,GET,/reset.css,HTTP/1.1,200,1015
78.171.202.100,-,-,20/May/2015,15:05:53,GET,/style2.css,HTTP/1.1,200,4877
78.171.202.100,-,-,20/May/2015,15:05:22,GET,/favicon.ico,HTTP/1.1,200,3638
78.171.202.100,-,-,20/May/2015,15:05:30,GET,/images/jordan-80.png,HTTP/1.1,200,6146
78.171.202.100,-,-,20/May/2015,15:05:07,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
78.171.202.100,-,-,20/May/2015,15:05:45,GET,/about/,HTTP/1.1,200,11474
78.171.202.100,-,-,20/May/2015,15:05:54,GET,/images/me.png,HTTP/1.1,200,37198
208.91.156.11,-,-,20/May/2015,15:05:19,GET,/files/logstash/logstash-1.3.2-monolithic.jar,HTTP/1.1,404,324
128.118.108.67,-,-,20/May/2015,15:05:10,GET,/favicon.ico,HTTP/1.0,200,3638
91.99.29.38,-,-,20/May/2015,15:05:16,GET,/projects/xdotool/,HTTP/1.1,200,12292
91.99.29.38,-,-,20/May/2015,15:05:04,GET,/style2.css,HTTP/1.1,200,4877
91.99.29.38,-,-,20/May/2015,15:05:47,GET,/favicon.ico,HTTP/1.1,200,3638
91.99.29.38,-,-,20/May/2015,15:05:06,GET,/reset.css,HTTP/1.1,200,1015
91.99.29.38,-,-,20/May/2015,15:05:19,GET,/images/jordan-80.png,HTTP/1.1,200,6146
91.99.29.38,-,-,20/May/2015,15:05:24,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
180.76.6.141,-,-,20/May/2015,15:05:35,GET,/blog/geekery/puppet-facts-into-mcollective.html,HTTP/1.1,200,9872
108.184.124.170,-,-,20/May/2015,15:05:47,GET,/presentations/logstash-puppetconf-2012/,HTTP/1.1,200,37269
108.184.124.170,-,-,20/May/2015,15:05:19,GET,/presentations/puppet-at-loggly/puppet-at-loggly.pdf.html,HTTP/1.1,200,24747
66.249.73.135,-,-,20/May/2015,15:05:44,GET,/blog/productivity/grok-plans.html,HTTP/1.1,200,10997
37.188.233.114,-,-,20/May/2015,15:05:22,GET,/projects/xdotool/xdotool.xhtml,HTTP/1.1,200,50112
37.188.233.114,-,-,20/May/2015,15:05:59,GET,/favicon.ico,HTTP/1.1,200,3638
