"FullName","TamanhoKB","DataModificacao"
"D:\bruto\TEIA\Miniconda\envs\teia_cli\Lib\site-packages\googleapiclient\discovery_cache\documents\firestore.v1beta2.json","56,18","2025-11-27 18:36"
"D:\bruto\TEIA\Miniconda\envs\teia_cli\Lib\site-packages\numpy\random\tests\test_seed_sequence.py","3,31","2025-11-27 18:34"
"D:\bruto\TEIA\Miniconda\envs\teia_cli\Library\include\openssl\seed.h","3,87","2025-10-03 08:19"
"D:\bruto\TEIA\Miniconda\envs\teia_vision\Lib\site-packages\numpy\random\tests\test_seed_sequence.py","3,31","2025-11-27 20:50"
"D:\bruto\TEIA\Miniconda\envs\teia_vision\Library\include\openssl\seed.h","3,87","2025-10-03 08:19"
"D:\bruto\TEIA\Miniconda\Library\include\openssl\seed.h","3,87","2025-10-03 08:19"
"D:\bruto\TEIA\Miniconda\pkgs\openssl-3.0.18-h543e019_0\Library\include\openssl\seed.h","3,87","2025-10-03 08:19"
"D:\bruto\TEIA\Miniconda\pkgs\pygments-2.19.2-py313haa95532_0\info\test\tests\snippets\j\test_deal_operator_fixed_seed.txt","0,18","2020-02-01 21:00"
"D:\bruto\TEIA\spec\core_spec.teia.json","2,97","2025-11-25 23:23"
"D:\bruto\TEIA\spec\OntoSeed_614a77_raw.json","0,6","2025-11-25 23:23"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\Miniconda\envs\agents_v2\Lib\site-packages\modelscope\models\multi_modal\image_to_video\utils\__pycache__\seed.cpython-310.pyc","0,5","2025-11-26 22:38"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\Miniconda\envs\agents_v2\Lib\site-packages\modelscope\models\multi_modal\video_to_video\utils\__pycache__\seed.cpython-310.pyc","0,5","2025-11-26 22:38"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\Miniconda\envs\agents_v2\Lib\site-packages\numpy\random\tests\__pycache__\test_seed_sequence.cpython-310.pyc","2,5","2025-11-27 19:09"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\Miniconda\envs\agents_v2\Lib\site-packages\win32\Demos\__pycache__\RegRestoreKey.cpython-310.pyc","1,49","2025-11-26 22:36"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\Miniconda\envs\teia_cli\Lib\site-packages\numpy\random\tests\__pycache__\test_seed_sequence.cpython-311.pyc","3,78","2025-11-27 18:34"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\Miniconda\envs\teia_vision\Lib\site-packages\numpy\random\tests\__pycache__\test_seed_sequence.cpython-310.pyc","2,5","2025-11-27 20:50"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\output.seed","9842,75","2025-11-25 23:15"
"D:\bruto\TEIA\TEIA_ATLAS\Materia_Bruta\D_Drive\TEIA\renderizacao-3d-de-dados.jpg.output.seed","9842,75","2025-11-25 23:23"
